node_id,base_stock,safety_stock
N000643,5374.82079964392,161.11885426217515
N000278,189571723.63381153,1107823.4492799053
N000330,1462327.782669856,23457.235973722814
N000342,4408488.917923968,80348.28476210797
N000192,470534710.2161938,2354664.0862891395
N000633,372893.2501791263,12386.903576978495
N000347,38795685.5395244,1332456.6888278963
N000696,58987.07177587678,1761.9801287048122
N000907,0.0,0.0
N000430,648044.2537982567,17230.885897699878
N000004,143179697.1266282,1129331.4103354197
N000661,0.0,0.0
N000943,0.0,0.0
N000577,33807.74520847138,1803.978502383749
N000772,1123.8864549961131,40.22978053838549
N000152,9585607.435331455,135744.47284208663
N000288,172775.137037041,10470.509641040411
N000132,11179690669.32749,132573587.17344108
N000471,2468937.2003825638,37305.89581794041
N000319,6460753.489898599,296109.22804318933
N000677,62811.934494667206,1495.6193414954791
N000534,335540.8993589771,6543.540434477715
N000376,22938895.17642176,294684.29516657017
N000511,5332.17314285976,539.1035622370256
N000524,12299.701685638991,1046.0317740534758
N000398,0.0,0.0
N000082,2082630253.7623074,24552394.91472506
N000334,1474899.2982761082,18984.192618243433
N000421,7008381.914859168,75392.48161745319
N000746,1294.3536731901486,162.88972575921315
N000510,0.0,0.0
N000638,17557.547292165884,1045.9834327677797
N000707,147699.0844756492,6090.43212461625
N000909,316.5133612010872,86.70249987107269
N000550,969.6177307381932,131.5439203504451
N000625,16531.26802607704,542.2373250866381
N000361,122578495.26031822,1083562.0280663895
N000798,112.99348153389703,6.822780624169595
N000814,8408.978112610646,147.0947248730034
N000727,34498.607668808385,668.6261640722248
N000095,3852752575.0188,23661871.82481056
N000005,423584095.5195214,2731804.9795598187
N000895,0.0,0.0
N000955,0.0,0.0
N000157,345284023.7878522,8695885.132917354
N000803,678.7583159038588,45.49483398429246
N000941,0.0,0.0
N000503,0.0,0.0
N000583,666418.7568362139,18186.205988900154
